productID,category,name,offeringDetails,keyBenefits,price,isRecurring,description,specifications,availableLocations,validityPeriod
1,prepaid,Prepaid 4G 1GB Daily,"{""plan"": {""data"": ""1GB"", ""validity"": ""30 days"", ""price"": 199}, ""device"": null}","1GB daily data, 30-day validity, ideal for light usage",199,FALSE,1 GB daily data plan with limited validity.,"{""techSpecifications"": """", ""rules"": ""Valid 4G‑compatible SIM required, Service area coverage verification mandatory"", ""staticIPSupported"": false, ""productEquipments"": [26]}","""[1,2,3,4,5,6,7,8,9,10,11,12,15,16,18,19]""",30
2,prepaid,Prepaid 4G 2GB Daily,"{""plan"": {""data"": ""2GB"", ""validity"": ""30 days"", ""price"": 299}, ""device"": null}","2GB daily data, smooth streaming, social media friendly",299,FALSE,2 GB daily data plan for moderate users.,"{""techSpecifications"": """", ""rules"": ""Valid 4G‑compatible SIM required, Service area coverage verification mandatory"", ""staticIPSupported"": false, ""productEquipments"": [26]}","""[2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,18]""",30
3,prepaid,Prepaid 4G 3GB Daily,"{""plan"": {""data"": ""3GB"", ""validity"": ""30 days"", ""price"": 399}, ""device"": null}","3GB daily data, heavy usage support, worry-free browsing",399,FALSE,3 GB daily data plan with validity of 30 days.,"{""techSpecifications"": """", ""rules"": ""Valid 4G‑compatible SIM required, Service area coverage verification mandatory"", ""staticIPSupported"": false, ""productEquipments"": [26]}","""[1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,18,20]""",30
4,prepaid,Prepaid 5G 1GB Daily,"{""plan"": {""data"": ""1GB"", ""validity"": ""30 days"", ""price"": 349}, ""device"": null}","5G connectivity, daily data, faster speeds",349,FALSE,Entry-level 5G daily plan.,"{""techSpecifications"": """", ""rules"": ""Valid 5G‑compatible SIM required, Device capable of 5G recommended"", ""staticIPSupported"": false, ""productEquipments"": [27]}","""[1,3,4,6,7,8,9,10,12,13,14,16,17,18,19]""",30
5,prepaid,Prepaid 5G 3GB Daily,"{""plan"": {""data"": ""3GB"", ""validity"": ""30 days"", ""price"": 549}, ""device"": null}","High-speed 5G, smooth streaming, gaming ready",549,FALSE,3 GB daily 5G plan for faster usage.,"{""techSpecifications"": """", ""rules"": ""Valid 5G‑compatible SIM required, Service area coverage verification mandatory"", ""staticIPSupported"": false, ""productEquipments"": [27]}","""[2,4,5,6,7,8,9,11,12,13,14,15,16,18,20]""",30
6,prepaid,Prepaid 5G FWA 50GB,"{""plan"": {""data"": ""50GB"", ""validity"": ""30 days"", ""price"": 799}, ""device"": null}","50GB data, 5G broadband backup, up to 100 Mbps",799,FALSE,50GB prepaid 5G FWA plan for backup connectivity.,"{""techSpecifications"": ""Fixed Wireless Access, Speed: 100Mbps"", ""rules"": ""Valid 5G-compatible SIM required, Service area coverage verification mandatory"", ""staticIPSupported"": false,  ""productEquipments"": [27, 28, 31, 32, 33]}","""[1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 16, 17]""",30
7,prepaid,Prepaid 5G FWA 100GB,"{""plan"": {""data"": ""100GB"", ""validity"": ""30 days"", ""price"": 1299}, ""device"": null}","100GB data, reliable 5G backup, faster speeds",1299,FALSE,100GB prepaid 5G FWA plan for reliable backup.,"{""techSpecifications"": ""Fixed Wireless Access, Speed: 150Mbps"", ""rules"": ""Valid 5G-compatible SIM required, Service area coverage verification mandatory"", ""staticIPSupported"": false,  ""productEquipments"": [27, 28, 31, 32, 33]}","""[2, 3, 5, 6, 8, 9, 10, 11, 13, 14, 15,16, 18]""",30
8,postpaid,Postpaid 5G FWA 200GB,"{""plan"": {""data"": ""200GB"", ""validity"": ""30 days"", ""price"": 2499}, ""device"": null}","200GB data, postpaid billing, static IP support",2499,TRUE,200GB postpaid 5G FWA plan for high-usage backup.,"{""techSpecifications"": ""Fixed Wireless Access, Speed: 200Mbps"", ""rules"": ""Valid 5G-compatible SIM required, Minimum credit score of 650 required, Service area coverage verification mandatory"", ""staticIPSupported"": true, ""productEquipments"": [27, 28, 31, 32, 33]}","""[1, 2, 4, 5, 7, 8, 9, 10, 12, 14, 15, 17, 20]""",30
9,postpaid,Postpaid 5G FWA 500GB,"{""plan"": {""data"": ""500GB"", ""validity"": ""30 days"", ""price"": 4499}, ""device"": null}","500GB data, ultra-fast 5G, heavy usage ready",4499,TRUE,500GB postpaid 5G FWA plan for heavy-duty backup.,"{""techSpecifications"": ""Fixed Wireless Access, Speed: 300Mbps"", ""rules"": ""Valid 5G-compatible SIM required, Minimum credit score of 700 required, Service area coverage verification mandatory"", ""staticIPSupported"": true, ""productEquipments"": [27, 28, 31, 32, 33]}","""[1, 3, 4, 6, 7, 9, 10, 11, 12, 14, 16, 17,19]""",30
10,postpaid,Postpaid 4G 1GB,"{""plan"": {""data"": ""1GB"", ""validity"": ""30 days"", ""price"": 499}, ""device"": null}","Low monthly cost, postpaid convenience, light usage",499,TRUE,Low‑usage 4G postpaid plan.,"{""techSpecifications"": """", ""rules"": ""Valid 4G‑compatible SIM required, Minimum credit score: 600"", ""staticIPSupported"": false, ""productEquipments"": [26]}","""[1,2,3,5,6,8,9,10,11,12,14,15,17,18,19]""",30
11,postpaid,Postpaid 4G 2GB,"{""plan"": {""data"": ""2GB"", ""validity"": ""30 days"", ""price"": 699}, ""device"": null}","Balanced data plan, postpaid convenience, everyday use",699,TRUE,Moderate‑usage 4G postpaid plan.,"{""techSpecifications"": """", ""rules"": ""Valid 4G‑compatible SIM required, Minimum credit score: 650, 6‑month commitment recommended"", ""staticIPSupported"": false, ""productEquipments"": [26]}","""[2,3,4,6,7,8,9,10,12,13,15,16,18,19,20]""",30
12,postpaid,Postpaid 5G 1GB,"{""plan"": {""data"": ""1GB"", ""validity"": ""30 days"", ""price"": 649}, ""device"": null}","Affordable 5G, faster speeds, postpaid plan",649,TRUE,Entry 5G postpaid for light users.,"{""techSpecifications"": """", ""rules"": ""Valid 5G‑compatible SIM required, Minimum credit score: 650"", ""staticIPSupported"": true, ""productEquipments"": [27]}","""[1,3,4,5,6,7,9,10,11,12,13,14,16,18,21]""",30
13,postpaid,Postpaid 5G 3GB,"{""plan"": {""data"": ""3GB"", ""validity"": ""30 days"", ""price"": 899}, ""device"": null}","5G speeds, moderate data usage, work & entertainment",899,TRUE,Moderate‑usage 5G postpaid plan.,"{""techSpecifications"": """", ""rules"": ""Valid 5G‑compatible SIM required, Minimum credit score: 700"", ""staticIPSupported"": true, ""productEquipments"": [27]}","""[2,3,5,6,7,8,9,10,11,12,14,15,16,17,18,22]""",30
14,postpaid,Postpaid 5G 5GB,"{""plan"": {""data"": ""5GB"", ""validity"": ""30 days"", ""price"": 1199}, ""device"": null}","High data allowance, premium 5G speeds, power users",1199,TRUE,Higher‑usage 5G postpaid plan.,"{""techSpecifications"": """", ""rules"": ""Valid 5G‑compatible SIM required, Minimum credit score: 750"", ""staticIPSupported"": true, ""productEquipments"": [27]}","""[1,4,5,6,8,9,10,11,12,13,14,15,16,18,23]""",30
15,fibernet,FiberPlus Postpaid 100 Mbps,"{""plan"": {""speed"": ""100Mbps"", ""validity"": ""30 days"", ""price"": 499}, ""device"": null}","100 Mbps speed, stable fiber connection, home internet",499,TRUE,Affordable fiber broadband plan for 100Mbps speed.,"{""techSpecifications"": ""Speed: 100 Mbps, Ports: 4"", ""rules"": ""Fiber optic infrastructure availability verification required, Minimum credit score of 650 required for recurring billing approval, Minimum 12-month contract commitment required"", ""staticIPSupported"": false, ""productEquipments"": [1, 2, 24, 5, 16, 29, 30]}","""[1,2,4,5,6,7,8,10,12,13,15,16,18,24]""",30
16,fibernet,FiberPro Postpaid 300 Mbps,"{""plan"": {""speed"": ""300Mbps"", ""validity"": ""30 days"", ""price"": 799}, ""device"": null}","300 Mbps speed, static IP option, high-speed fiber",799,TRUE,High-speed fiber broadband plan for 300Mbps speed.,"{""techSpecifications"": ""Speed: 300 Mbps, Ports: 6"", ""rules"": ""Fiber optic infrastructure availability verification required, Minimum credit score of 700 required for recurring billing approval, Static IP can be availed on request"", ""staticIPSupported"": true, ""productEquipments"": [1, 9, 25, 5, 28, 8, 29, 30]}","""[1,2,4,5,6,7,8,10,11,12,13,16,18,19,25]""",30
17,fibernet,FiberMax Postpaid 500 Mbps,"{""plan"": {""speed"": ""500Mbps"", ""validity"": ""30 days"", ""price"": 999}, ""device"": null}","500 Mbps speed, premium fiber, seamless streaming",999,TRUE,Premium fiber broadband plan for 500Mbps speed.,"{""techSpecifications"": ""Speed: 500 Mbps, Ports: 6"", ""rules"": ""Fiber optic infrastructure availability verification required, Minimum credit score of 750 required for recurring billing approval, Static IP can be availed on request"", ""staticIPSupported"": true, ""productEquipments"": [6, 12, 15, 16, 17, 18, 29, 30]}","""[1,2,4,6,7,8,10,11,12,13,15,16,18,20,22,23,24]""",30
18,fibernet,FiberLite Prepaid 50 Mbps,"{""plan"": {""speed"": ""50Mbps"", ""validity"": ""30 days"", ""price"": 299}, ""device"": null}","50 Mbps speed, affordable fiber, basic home usage",299,FALSE,Entry-level fiber plan with 50Mbps speed.,"{""techSpecifications"": ""Speed: 50 Mbps, Ports: 4"", ""rules"": ""Fiber optic infrastructure availability verification required"", ""staticIPSupported"": false, ""productEquipments"": [1, 2, 4, 17, 24, 11, 29, 30]}","""[1,2,4,5,6,7,8,10,11,12,13,16,18,22,24]""",30
19,fibernet,FiberPlus Prepaid 100 Mbps,"{""plan"": {""speed"": ""100Mbps"", ""validity"": ""30 days"", ""price"": 499}, ""device"": null}","100 Mbps speed, prepaid flexibility, smooth browsing",499,FALSE,Mid-level fiber plan for 100Mbps speed.,"{""techSpecifications"": ""Speed: 100 Mbps, Ports: 4"", ""rules"": ""Fiber optic infrastructure availability verification required"", ""staticIPSupported"": false, ""productEquipments"": [1, 4, 5, 7, 25, 19, 15, 2, 29, 30]}","""[2,4,5,6,7,8,10,11,12,15,16,18,19,20,22,24,25]""",30
20,fibernet,FiberPro Prepaid 300 Mbps,"{""plan"": {""speed"": ""300Mbps"", ""validity"": ""30 days"", ""price"": 799}, ""device"": null}","300 Mbps speed, prepaid fiber, power usage",799,FALSE,High-speed 300Mbps fiber plan.,"{""techSpecifications"": ""Speed: 300 Mbps, Ports: 6"", ""rules"": ""Fiber optic infrastructure availability verification required"", ""staticIPSupported"": true, ""productEquipments"": [1, 5, 19, 17, 18, 14, 8, 24, 29, 30]}","""[1,2,4,5,6,7,8,10,11,12,13,15,16,18,19,20,22,23,24,25]""",30
21,device,Samsung Galaxy S21,"{""device"": {""model"": ""Samsung Galaxy S21"", ""price"": 79999, ""techSpecifications"": ""128GB, Exynos 2100, 5G"", ""color"": ""Phantom Gray""}}",,79999,FALSE,Samsung's flagship phone with 5G capability.,"{""techSpecifications"": ""Exynos 2100, 128GB, 5G support"", ""rules"": """", ""staticIPSupported"": false, ""productEquipments"": []}",,0
22,device,NetGear Wi-Fi Router,"{""device"": {""model"": ""NetGear AC2000"", ""price"": 4999, ""techSpecifications"": ""AC2000, Dual-band, 4x4 MU-MIMO"", ""color"": ""Black""}}",,4999,FALSE,AC2000 Wi-Fi router for high-speed internet.,"{""techSpecifications"": ""AC2000, Dual-band, 4x4 MU-MIMO"", ""rules"": """", ""staticIPSupported"": false, ""productEquipments"": []}",,0
23,device,Xiaomi Mi 11,"{""device"": {""model"": ""Xiaomi Mi 11"", ""price"": 7499, ""techSpecifications"": ""64GB, Snapdragon 888, 5G"", ""color"": ""Horizon Blue""}}",,7499,FALSE,Xiaomi Mi 11 with top specs and 5G connectivity.,"{""techSpecifications"": ""Snapdragon 888, 64GB, 5G support"", ""rules"": """", ""staticIPSupported"": false, ""productEquipments"": []}",,0
24,device,Mi Wi-Fi Router 6,"{""device"": {""model"": ""Mi Wi-Fi Router 6"", ""price"": 2299, ""techSpecifications"": ""Dual-band Wi-Fi 6, 4x4 MU-MIMO"", ""color"": ""Black""}}",,2299,FALSE,Wi-Fi 6 Router with dual-band support.,"{""techSpecifications"": ""Dual-band Wi-Fi 6, 4x4 MU-MIMO"", ""rules"": """", ""staticIPSupported"": false, ""productEquipments"": []}",,0
25,device,Apple iPhone 12 Pro,"{""device"": {""model"": ""iPhone 12 Pro"", ""price"": 109999, ""techSpecifications"": ""128GB, A14 Bionic chip, 5G"", ""color"": ""Silver""}}",,109999,FALSE,iPhone 12 Pro with stunning camera and 5G support.,"{""techSpecifications"": ""A14 Bionic chip, 128GB, 5G support"", ""rules"": """", ""staticIPSupported"": false, ""productEquipments"": []}",,0
26,entertainment,Netflix Basic Plan,"{""plan"": {""access"": ""Movies, TV Shows, Originals"", ""validity"": ""30 days"", ""price"": 199}, ""device"": null}","Movies & TV shows, Netflix Originals, on-demand streaming",199,TRUE,Access to Netflix Basic plan with limited resolution.,"{""techSpecifications"": """", ""rules"": ""Active data plan or broadband connection required"", ""staticIPSupported"": false, ""productEquipments"": []}","""[1,3,4,5,6,7,9,10,11,12,13,15,16,18,20, 23]""",30
27,entertainment,Prime Video Standard,"{""plan"": {""access"": ""Movies, TV Shows, Originals"", ""validity"": ""30 days"", ""price"": 299}, ""device"": null}","HD streaming, Prime Originals, movies & TV shows",299,TRUE,Prime Video standard plan with HD access to movies and shows.,"{""techSpecifications"": """", ""rules"": ""Active data plan or broadband connection required"", ""staticIPSupported"": false, ""productEquipments"": []}","""[2,3,4,6,7,8,9,10,12,13,14,15,16,18,24]""",30
28,entertainment,Disney+ Hotstar VIP,"{""plan"": {""access"": ""Movies, TV Shows, Sports, Hotstar Originals"", ""validity"": ""30 days"", ""price"": 399}, ""device"": null}","Live sports, movies & shows, Disney+ Originals",399,TRUE,Disney+ Hotstar VIP with access to sports and originals.,"{""techSpecifications"": """", ""rules"": ""Active data plan or broadband connection required"", ""staticIPSupported"": false, ""productEquipments"": []}","""[1,2,4,5,6,7,8,9,10,12,14,15,16,17,18,25]""",30
29,entertainment,Netflix Premium Plan,"{""plan"": {""access"": ""Movies, TV Shows, 4K Originals"", ""validity"": ""30 days"", ""price"": 649}, ""device"": null}","4K streaming, Netflix Originals, premium experience",649,TRUE,Premium Netflix plan with access to 4K content.,"{""techSpecifications"": """", ""rules"": ""Active data plan or broadband connection required"", ""staticIPSupported"": false, ""productEquipments"": []}","""[1,2,3,4,5,6,7,8,9,10,12,13,15,16,18]""",30
30,entertainment,Apple TV+ Subscription,"{""plan"": {""access"": ""Movies, TV Shows, Apple Originals"", ""validity"": ""30 days"", ""price"": 499}, ""device"": null}","Apple Originals, ad-free streaming, exclusive content",499,TRUE,Apple TV+ subscription with access to Apple Originals.,"{""techSpecifications"": """", ""rules"": ""Active data plan or broadband connection required"", ""staticIPSupported"": false, ""productEquipments"": []}","""[2,3,4,5,6,7,8,9,10,11,12,14,15,16,18]""",30
31,entertainment,HBO Max Standard,"{""plan"": {""access"": ""Movies, TV Shows, HBO Originals"", ""validity"": ""30 days"", ""price"": 499}, ""device"": null}","HBO Originals, blockbuster movies, premium content",499,TRUE,Access to HBO Max content including new movies and HBO Originals.,"{""techSpecifications"": """", ""rules"": ""Active data plan or broadband connection required"", ""staticIPSupported"": false, ""productEquipments"": []}","""[3, 5, 7, 10, 12, 14, 16, 18, 20, 21, 22]""",30
32,entertainment,Sony LIV Premium,"{""plan"": {""access"": ""Movies, TV Shows, Sony LIV Originals"", ""validity"": ""30 days"", ""price"": 299}, ""device"": null}","Sony LIV Originals, movies & TV shows",299,TRUE,Access to Sony LIV content including movies and originals.,"{""techSpecifications"": """", ""rules"": ""Active data plan or broadband connection required"", ""staticIPSupported"": false, ""productEquipments"": []}","""[2, 4, 6, 9, 10, 13, 15, 16, 17]""",30
33,entertainment,Zee5 Premium Plan,"{""plan"": {""access"": ""Movies, TV Shows, Originals, ZEE5 Content"", ""validity"": ""30 days"", ""price"": 399}, ""device"": null}","ZEE5 Originals, regional content, movies & shows",399,TRUE,"Access to ZEE5 content, including exclusive Originals.","{""techSpecifications"": """", ""rules"": ""Active data plan or broadband connection required"", ""staticIPSupported"": false, ""productEquipments"": []}","""[1, 5, 8, 12, 13, 14, 16, 19]""",30
34,entertainment,Voot Select,"{""plan"": {""access"": ""Movies, TV Shows, Originals, Voot Content"", ""validity"": ""30 days"", ""price"": 349}, ""device"": null}","Voot Originals, popular TV shows, movies",349,TRUE,Access to Voot Select content including Originals.,"{""techSpecifications"": """", ""rules"": ""Active data plan or broadband connection required"", ""staticIPSupported"": false, ""productEquipments"": []}","""[2, 4, 7, 9, 10, 12, 15, 18]""",30
35,bundle,Work-from-Home Combo,"[{""productId"": 14, ""category"": ""postpaid"", ""name"": ""Postpaid 5G 5GB""}, {""productId"": 22, ""category"":""device"",""name"": ""NetGear Wi-Fi Router""}]","5G connectivity, Wi-Fi router included, work-from-home ready",5299,TRUE,Postpaid plan with router for seamless work-from-home setup.,"{""techSpecifications"": """", ""rules"": ""Valid 5G-compatible SIM card required, Active data plan or broadband connection required, Minimum credit score of 750, Static IP can be availed on request"", ""staticIPSupported"": true, ""productEquipments"": [26]}","""[1,2,3,4,5,6,8,9,10,12,13,14,16,18,19]""",30
36,bundle,Entertainment + Fiber Bundle,"[{""productId"": 16, ""category"":""fibernet"", ""name"": ""FiberPro Postpaid 300 Mbps""}, {""productId"": 26, ""category"":""entertainment"", ""name"": ""Netflix Basic Plan""}, {""productId"": 27, ""category"":""entertainment"",""name"": ""Prime Video Standard""}]","300 Mbps fiber, OTT subscriptions included, home entertainment",1299,TRUE,High-speed fiber plus OTT entertainment subscription bundle.,"{""techSpecifications"": ""Fiber: 300 Mbps"", ""rules"": ""Minimum credit score of 700, Fiber optic infrastructure availability verification required, Static IP can be availed on request"", ""staticIPSupported"": true, ""productEquipments"": [1, 5, 9, 28, 25, 8, 29, 30]}","""[1,2,4,5,6,7,8,9,10,12,14,15,16,18,20]""",30
37,bundle,5G Streaming Combo,"[{""productId"": 13, ""category"":""postpaid"", ""name"": ""Postpaid 5G 3GB""}, {""productId"": 28, ""category"":""entertainment"", ""name"": ""Disney+ Hotstar VIP""}, {""productId"": 29, ""category"":""entertainment"", ""name"": ""Netflix Premium Plan""}]","5G data plan, premium OTT access, entertainment bundle",2547,TRUE,High-speed 5G data plan bundled with premium OTT subscriptions.,"{""techSpecifications"": """", ""rules"": ""Valid 5G-compatible SIM card required, Active data plan or broadband connection required, Minimum credit score of 700"", ""staticIPSupported"": true, ""productEquipments"": [27]}","""[2,3,4,6,7,8,9,10,11,12,13,15,16,18,21]""",30
38,bundle,Prepaid Entertainment Pack,"[{""productId"": 5, ""category"":""prepaid"", ""name"": ""Prepaid 5G 3GB Daily""}, {""productId"": 26,""category"":""entertainment"", ""name"": ""Netflix Basic Plan""}, {""productId"": 27,""category"":""entertainment"", ""name"": ""Prime Video Standard""}]","Daily 5G data, OTT subscriptions, prepaid flexibility",1097,FALSE,Prepaid 5G data plan bundled with two OTT subscriptions.,"{""techSpecifications"": """", ""rules"": ""Valid 5G-compatible SIM card required, Active data plan or broadband connection required"", ""staticIPSupported"": false, ""productEquipments"": [27]}","""[1,3,4,5,6,7,8,9,10,12,14,15,16,18,22]""",30
39,bundle,Family Fiber + OTT Bundle,"[{""productId"": 15, ""category"":""fibernet"", ""name"": ""FiberPlus Postpaid 100 Mbps""}, {""productId"": 28, ""category"":""entertainment"", ""name"": ""Disney+ Hotstar VIP""}, {""productId"": 30, ""category"":""entertainment"", ""name"": ""Apple TV+ Subscription""}]","Family fiber internet, OTT subscriptions included, home entertainment",1097,TRUE,Fiber broadband plus three OTT subscriptions for the whole family.,"{""techSpecifications"": ""Fiber: 100 Mbps"", ""rules"": ""Minimum credit score of 650, Fiber optic infrastrucutre availability verification required, Minimum 6 month contract commitment required"", ""staticIPSupported"": false, ""productEquipments"": [1, 2, 24, 5, 16, 29, 30]}","""[1,2,4,5,6,7,8,9,10,12,13,15,16,18,23]""",30